Journals,Frecuencia
computers & education,124
journal of educational computing research,106
international journal of child-computer interaction,100
thinking skills and creativity,69
procedia computer science,47
computers in human behavior,46
computers and education: artificial intelligence,45
j. comput. sci. coll.,39
acm trans. comput. educ.,30
heliyon,30
commun. acm,23
entertainment computing,19
computers and education open,17
teaching and teacher education,13
acm inroads,12
