Publishers,Frecuencia
association for computing machinery,955
consortium for computing sciences in colleges,39
elsevier,36
academic press,26
morgan kaufmann,18
chandos publishing,6
brazilian computer society,2
american society for information science,1
"australian computer society, inc.",1
ibm corp.,1
north-holland,1
woodhead publishing,1
newnes,1
